test_case_id,category,sub_type,order_id,auth_type,request_body,expected_status,expected_result,verdict,reasoning
TC_FR18_01,Domain Partition,Valid Existing ID,1,ADMIN,"{""status"": ""confirmed""}",200,Cập nhật trạng thái đơn hàng thành công,VALID,Bao phủ trường hợp hợp lệ với ID đơn hàng tồn tại.
TC_FR18_02,Domain Partition,Non-existent ID,999999,ADMIN,"{""status"": ""confirmed""}",404,Báo lỗi không tìm thấy đơn hàng (Order not found),VALID,Kiểm tra xử lý mã định danh không tồn tại.
TC_FR18_03,Domain Partition,Zero Boundary ID,0,ADMIN,"{""status"": ""confirmed""}",400,Từ chối ID = 0 không hợp lệ,VALID,Kiểm thử giá trị biên số trị 0 cho path parameter.
TC_FR18_04,Domain Partition,Negative Integer ID,-1,ADMIN,"{""status"": ""confirmed""}",400,Từ chối ID âm không hợp lệ,VALID,Kiểm thử giá trị số âm cho path parameter.
TC_FR18_05,Domain Partition,String Non-Numeric ID,abc,ADMIN,"{""status"": ""confirmed""}",400,Từ chối ID chuỗi ký tự chữ,VALID,Kiểm thử ép kiểu dữ liệu schema cho path parameter.
TC_FR18_06,Domain Partition,Float Number ID,1.5,ADMIN,"{""status"": ""confirmed""}",400,Từ chối ID số thực dấu phẩy động,VALID,Kiểm thử kiểu số nguyên nghiêm ngặt (Strict Integer).
TC_FR18_07,Domain Partition,Whitespace ID,1%20,ADMIN,"{""status"": ""confirmed""}",400,Từ chối ID chứa khoảng trắng,VALID,Kiểm tra xử lý khoảng trắng trong URL path.
TC_FR18_08,EP Body,Null Status,2,ADMIN,"{""status"": null}",400,Từ chối giá trị status null,VALID,Phân vùng kiểm tra giá trị null cho trường status.
TC_FR18_09,EP Body,Empty Status String,3,ADMIN,"{""status"": """"}",400,Từ chối chuỗi status rỗng,VALID,Phân vùng kiểm tra chuỗi rỗng cho trường status.
TC_FR18_10,EP Body,Whitespace Status,4,ADMIN,"{""status"": ""   ""}",400,Từ chối chuỗi status chỉ chứa khoảng trắng,VALID,Phân vùng kiểm tra chuỗi whitespace.
TC_FR18_11,EP Body,Number Type Mismatch,7,ADMIN,"{""status"": 123}",400,Báo lỗi Schema Type Mismatch (Number thay vì String),VALID,Kiểm định Schema Type Mismatch cho trường status.
TC_FR18_12,EP Body,Boolean Type Mismatch,8,ADMIN,"{""status"": true}",400,Báo lỗi Schema Type Mismatch (Boolean thay vì String),VALID,Kiểm định Schema Type Mismatch kiểu Boolean.
TC_FR18_13,State Transition,Valid: Pending to Confirmed,9,ADMIN,"{""status"": ""confirmed""}",200,Chuyển trạng thái từ pending sang confirmed thành công,VALID,Bao phủ 100% bước chuyển hợp lệ pending -> confirmed.
TC_FR18_14,State Transition,Valid: Pending to Canceled,10,ADMIN,"{""status"": ""canceled""}",200,Chuyển trạng thái từ pending sang canceled thành công,VALID,Bao phủ 100% bước chuyển hợp lệ pending -> canceled.
